Version	Minecraft Block							
1.0.0	Air	air	air	air	0	0	minecraft:air	Air
1.0.0	Stone	stone	stone	stone	1	1	minecraft:stone	Stone D B
1.0.0	Grass	grass	grass	grass	2	2	minecraft:grass	Grass Block
1.0.0	Dirt	dirt	dirt	dirt	3	3	minecraft:dirt	Dirt D B
1.0.0	Cobblestone	cobblestone	cobblestone	cobblestone	4	4	minecraft:cobblestone	Cobblestone
1.0.0	Planks	planks	planks	planks	5	5	minecraft:planks	Wood Planks D B
1.0.0	Sapling	sapling	sapling	sapling	6	6	minecraft:sapling	Saplings D B
1.0.0	Bedrock	bedrock	bedrock	bedrock	7	7	minecraft:bedrock	Bedrock
1.0.0	Flowing Water	flowing water	flowing water	flowing_water	8	8	minecraft:flowing_water	Water D
1.0.0	Water	water	water	water	9	9	minecraft:water	Stationary water D
1.0.0	Flowing Lava	flowing lava	flowing lava	flowing_lava	10	A	minecraft:flowing_lava	Lava D
1.0.0	Lava	lava	lava	lava	11	B	minecraft:lava	Stationary lava D
1.0.0	Sand	sand	sand	sand	12	C	minecraft:sand	Sand D B
1.0.0	Gravel	gravel	gravel	gravel	13	D	minecraft:gravel	Gravel
1.0.0	Gold Ore	gold ore	gold ore	gold_ore	14	E	minecraft:gold_ore	Gold Ore
1.0.0	Iron Ore	iron ore	iron ore	iron_ore	15	F	minecraft:iron_ore	Iron Ore
1.0.0	Coal Ore	coal ore	coal ore	coal_ore	16	10	minecraft:coal_ore	Coal Ore
1.0.0	Log	log	log	log	17	11	minecraft:log	Wood D B
1.0.0	Leaves	leaves	leaves	leaves	18	12	minecraft:leaves	Leaves D B
1.0.0	Sponge	sponge	sponge	sponge	19	13	minecraft:sponge	Sponge
1.0.0	Glass	glass	glass	glass	20	14	minecraft:glass	Glass
1.0.0	Lapis Ore	lapis ore	lapis ore	lapis_ore	21	15	minecraft:lapis_ore	Lapis Lazuli Ore
1.0.0	Lapis Block	lapis block	lapis block	lapis_block	22	16	minecraft:lapis_block	Lapis Lazuli Block
1.0.0	Dispenser	dispenser	dispenser	dispenser	23	17	minecraft:dispenser	Dispenser D T
1.0.0	Sandstone	sandstone	sandstone	sandstone	24	18	minecraft:sandstone	Sandstone D B
1.0.0	Noteblock	noteblock	noteblock	noteblock	25	19	minecraft:noteblock	Note Block T
1.0.0	Bed	bed	bed	bed	26	1A	minecraft:bed	Bed D I
1.0.0	Golden Rail	golden rail	golden rail	golden_rail	27	1B	minecraft:golden_rail	Powered Rail D
1.0.0	Detector Rail	detector rail	detector rail	detector_rail	28	1C	minecraft:detector_rail	Detector Rail D
1.0.0	Sticky Piston	sticky piston	sticky piston	sticky_piston	29	1D	minecraft:sticky_piston	Sticky Piston D
1.0.0	Web	web	web	web	30	1E	minecraft:web	Cobweb
1.0.0	Tallgrass	tallgrass	tallgrass	tallgrass	31	1F	minecraft:tallgrass	Grass D B
1.0.0	Deadbush	deadbush	deadbush	deadbush	32	20	minecraft:deadbush	Dead Bush
1.0.0	Piston	piston	piston	piston	33	21	minecraft:piston	Piston D
1.0.0	Piston Head	piston head	piston head	piston_head	34	22	minecraft:piston_head	Piston Extension D
1.0.0	Wool	wool	wool	wool	35	23	minecraft:wool	Wool D B
1.0.0	Piston Extension	piston extension	piston extension	piston_extension	36	24	minecraft:piston_extension	Block moved by Piston T
1.0.0	Yellow Flower	yellow flower	yellow flower	yellow_flower	37	25	minecraft:yellow_flower	Dandelion
1.0.0	Red Flower	red flower	red flower	red_flower	38	26	minecraft:red_flower	Poppy D B
1.0.0	Brown Mushroom	brown mushroom	brown mushroom	brown_mushroom	39	27	minecraft:brown_mushroom	Brown Mushroom
1.0.0	Red Mushroom	red mushroom	red mushroom	red_mushroom	40	28	minecraft:red_mushroom	Red Mushroom
1.0.0	Gold Block	gold block	gold block	gold_block	41	29	minecraft:gold_block	Block of Gold
1.0.0	Iron Block	iron block	iron block	iron_block	42	2A	minecraft:iron_block	Block of Iron
1.0.0	Double Stone Slab	double stone slab	double stone_slab	double_stone_slab	43	2B	minecraft:double_stone_slab	Double Stone Slab D B
1.0.0	Stone Slab	stone slab	stone slab	stone_slab	44	2C	minecraft:stone_slab	Stone Slab D B
1.0.0	Brick Block	brick block	brick block	brick_block	45	2D	minecraft:brick_block	Bricks
1.0.0	Tnt	tnt	tnt	tnt	46	2E	minecraft:tnt	TNT
1.0.0	Bookshelf	bookshelf	bookshelf	bookshelf	47	2F	minecraft:bookshelf	Bookshelf
1.0.0	Mossy Cobblestone	mossy cobblestone	mossy cobblestone	mossy_cobblestone	48	30	minecraft:mossy_cobblestone	Moss Stone
1.0.0	Obsidian	obsidian	obsidian	obsidian	49	31	minecraft:obsidian	Obsidian
1.0.0	Torch	torch	torch	torch	50	32	minecraft:torch	Torch D
1.0.0	Fire	fire	fire	fire	51	33	minecraft:fire	Fire D
1.0.0	Mob Spawner	mob spawner	mob spawner	mob_spawner	52	34	minecraft:mob_spawner	Monster Spawner T
1.0.0	Oak Stairs	oak stairs	oak stairs	oak_stairs	53	35	minecraft:oak_stairs	Oak Wood Stairs D
1.0.0	Chest	chest	chest	chest	54	36	minecraft:chest	Chest D T
1.0.0	Redstone Wire	redstone wire	redstone wire	redstone_wire	55	37	minecraft:redstone_wire	Redstone Wire D I
1.0.0	Diamond Ore	diamond ore	diamond ore	diamond_ore	56	38	minecraft:diamond_ore	Diamond Ore
1.0.0	Diamond Block	diamond block	diamond block	diamond_block	57	39	minecraft:diamond_block	Block of Diamond
1.0.0	Crafting Table	crafting table	crafting table	crafting_table	58	3A	minecraft:crafting_table	Crafting Table
1.0.0	Wheat	wheat	wheat	wheat	59	3B	minecraft:wheat	Wheat D
1.0.0	Farmland	farmland	farmland	farmland	60	3C	minecraft:farmland	Farmland D
1.0.0	Furnace	furnace	furnace	furnace	61	3D	minecraft:furnace	Furnace D T
1.0.0	Lit Furnace	lit furnace	lit furnace	lit_furnace	62	3E	minecraft:lit_furnace	Burning Furnace D T
1.0.0	Standing Sign	standing sign	standing sign	standing_sign	63	3F	minecraft:standing_sign	Sign Post D I T
1.0.0	Wooden Door	wooden door	wooden door	wooden_door	64	40	minecraft:wooden_door	Wooden Door D I
1.0.0	Ladder	ladder	ladder	ladder	65	41	minecraft:ladder	Ladders D
1.0.0	Rail	rail	rail	rail	66	42	minecraft:rail	Rail D
1.0.0	Stone Stairs	stone stairs	stone stairs	stone_stairs	67	43	minecraft:stone_stairs	Cobblestone Stairs D
1.0.0	Wall Sign	wall sign	wall sign	wall_sign	68	44	minecraft:wall_sign	Wall Sign D T
1.0.0	Lever	lever	lever	lever	69	45	minecraft:lever	Lever D
1.0.0	Stone Pressure Plate	stone pressure plate	stone pressure_plate	stone_pressure_plate	70	46	minecraft:stone_pressure_plate	Stone Pressure Plate D
1.0.0	Iron Door	iron door	iron door	iron_door	71	47	minecraft:iron_door	Iron Door D I
1.0.0	Wooden Pressure Plate	wooden pressure plate	wooden pressure_plate	wooden_pressure_plate	72	48	minecraft:wooden_pressure_plate	Wooden Pressure Plate D
1.0.0	Redstone Ore	redstone ore	redstone ore	redstone_ore	73	49	minecraft:redstone_ore	Redstone Ore
1.0.0	Lit Redstone Ore	lit redstone ore	lit redstone_ore	lit_redstone_ore	74	4A	minecraft:lit_redstone_ore	Glowing Redstone Ore
1.0.0	Unlit Redstone Torch	unlit redstone torch	unlit redstone_torch	unlit_redstone_torch	75	4B	minecraft:unlit_redstone_torch	Redstone Torch (inactive) D
1.0.0	Redstone Torch	redstone torch	redstone torch	redstone_torch	76	4C	minecraft:redstone_torch	Redstone Torch (active) D
1.0.0	Stone Button	stone button	stone button	stone_button	77	4D	minecraft:stone_button	Stone Button D
1.0.0	Snow Layer	snow layer	snow layer	snow_layer	78	4E	minecraft:snow_layer	Snow D B
1.0.0	Ice	ice	ice	ice	79	4F	minecraft:ice	Ice
1.0.0	Snow	snow	snow	snow	80	50	minecraft:snow	Snow
1.0.0	Cactus	cactus	cactus	cactus	81	51	minecraft:cactus	Cactus D
1.0.0	Clay	clay	clay	clay	82	52	minecraft:clay	Clay
1.0.0	Reeds	reeds	reeds	reeds	83	53	minecraft:reeds	Sugar Cane D I
1.0.0	Jukebox	jukebox	jukebox	jukebox	84	54	minecraft:jukebox	Jukebox D T
1.0.0	Fence	fence	fence	fence	85	55	minecraft:fence	Fence
1.0.0	Pumpkin	pumpkin	pumpkin	pumpkin	86	56	minecraft:pumpkin	Pumpkin D
1.0.0	Netherrack	netherrack	netherrack	netherrack	87	57	minecraft:netherrack	Netherrack
1.0.0	Soul Sand	soul sand	soul sand	soul_sand	88	58	minecraft:soul_sand	Soul Sand
